step	loss
0	0.2793967127799988
1	0.07474087178707123
2	0.05608148127794266
3	0.04650772735476494
4	0.03948338329792023
5	0.03494073823094368
6	0.03164469450712204
7	0.028909293934702873
8	0.02682173252105713
